"Qty","Value","Device","Package","Parts","Description","AVAILABILITY","COPYRIGHT","DESCRIPTION","DIGI-KEY_PART_NUMBER_1","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MP","PACKAGE","PN","POPULARITY","PRICE","PURCHASE-URL","TOLERANCE","VOLTAGE",
"4","0","R-US_R0805","R0805","R6, R7, R8, R9","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"1","100k","R-US_R0805","R0805","R1","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"2","10n","C-USC0805","C0805","C8, C9","CAPACITOR, American symbol","","","","","","","","","","","","","","","",
"6","10u","C-USC2220K","C2220K","C1, C2, C3, C5, C6, C10","CAPACITOR, American symbol","","","","","","","","","","","","","","","",
"1","10u","L-USL0805","R0805","L1","INDUCTOR, American symbol","","","","","","","","","","","","","","","",
"1","1k","R-US_R0805","R0805","R5","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"1","1u","C-USC0805","C0805","C7","CAPACITOR, American symbol","","","","","","","","","","","","","","","",
"1","2.21k","R-US_R0805","R0805","R4","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"1","4.7u","C-USC0805","C0805","C11","CAPACITOR, American symbol","","","","","","","","","","","","","","","",
"1","47u","CPOL-USF","PANASONIC_F","C4","POLARIZED CAPACITOR, American symbol","","","","","","","","","","EEH-ZC1H470P","","","","","",
"1","60.4k","R-US_R0805","R0805","R2","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"1","7.68k","R-US_R0805","R0805","R3","RESISTOR, American symbol","","","","","","","","","","","","","","","",
"1","LT3045EMSEPBFMSOP12_MSE_ADI-M","LT3045EMSEPBFMSOP12_MSE_ADI-M","MSOP12_MSE_ADI-M","U1","","","Copyright (C) 2023 Ultra Librarian. All rights reserved.","","LT3045EMSE#PBF-ND","LT3045EMSE#PBF","","Analog Devices Inc","","","","","","","","",
"1","LT8608EMSE#PBF","LT8608EMSE#PBF","MSOP-10_MSE","U2","None Check availability","In Stock",""," Buck Switching Regulator IC Positive Adjustable 0.778V 1 Output 1.5A 10-TFSOP"," 10-MSOP (0.118"," 3.00mm Width) Exposed Pad ","","","Analog Devices","","LT8608EMSE#PBF","MSOP -10 Analog Devices","","","None","https://pricing.snapeda.com/search/part/LT8608EMSE#PBF/?ref=eda",
"4","MOUNT-PAD-ROUND3.3","MOUNT-PAD-ROUND3.3","3,3-PAD","H1, H2, H3, H4","MOUNTING PAD, round","","","","","","","","","","","1","","","","",
"3","OSTVN02A150","OSTVN02A150","CONN_OSTVN02A150_OST","J1, J2, J4","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","ED10561-ND","OSTVN02A150","","On Shore Technology","","","","","","","","",
"1","OSTVN03A150","OSTVN03A150","CONN3_OSTVN03A150_OST","J3","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","ED10562-ND","OSTVN03A150","","On Shore Technology","","","","","","","","",
